Spanish,English
que,that
de,of
no,No
a,to
la,the
el,he
es,is
y,and
en,in
lo,it
un,a
por,by
qué,that
me,I
una,a
te,tea
los,the
se,HE
con,with
para,for
mi,my
está,this
si,Yeah
bien,good
pero,but
yo,I
eso,that
las,the
sí,Yeah
su,his
tu,you
aquí,here
del,of the
al,to the
como,as
le,you
más,further
esto,this
ya,already
todo,all
esta,this
vamos,come on
muy,very
hay,there is
ahora,now
algo,something
estoy,I'm
tengo,I have
nos,us
tú,you
nada,nothing
cuando,when
ha,ha
este,this
sé,HE
estás,are
así,So
puedo,I can
cómo,as
quiero,wanna
sólo,only
soy,am
tiene,has
gracias,thank you
o,either
él,he
bueno,Well
fue,was
ser,be
hacer,do
son,are
todos,all
era,was
eres,are
vez,time
tienes,have
creo,believe
ella,she
he,He
ese,that
voy,go
puede,can
sabes,You know
hola,hello
sus,their
porque,because
dios,God
quién,who
nunca,never
dónde,where
quieres,want
casa,home
favor,favor
esa,that
dos,two
tan,so
señor,Sir
tiempo,time
verdad,TRUE
estaba,was
mejor,better
están,are
va,goes
hombre,man
usted,you
mucho,a lot
hace,does
entonces,so
siento,I feel
tenemos,have
puedes,can
ahí,there
ti,you
vida,life
ver,see
alguien,someone
sr,Mr
hasta,until
sin,without
mí,my
solo,only
años,years
sobre,about
decir,say
uno,one
siempre,always
oh,Oh
ir,go
cosas,things
también,also
antes,before
has,you have
ni,neither
mis,my
día,day
estar,be
estamos,we are
noche,evening
nadie,nobody
otra,other
quiere,wants
parece,seems
nosotros,us
poco,bit
padre,father
trabajo,job
gente,people
mira,look
vas,you go
sea,be
